"id","codigo_prc","codigo_alt","codigo_man","codigo_gru","codigo_qui","valor_unid","numero_uni","identifica","nom_proced","valor_tar1","valor_tar6","codigo_liq","codigo_rip","estado_act"
"1","012501","012501","3","0","0","100","0",,"SECUESTRECTOMIA DE CRANEO  POR CRANIECTOMIA     171","0","0","H","45",
"2","035108","035108","3","0","0","100","0",,"CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MEDULA ESPINAL  SENO DERMICO","0","0","H","45",
"3","036100","036100","3","0","0","100","0",,"LISIS O RESECCION DE ADHERENCIAS EXTRADURALES EN MEDULA ESPINAL Y RAICES DE NERVIOS ESPINALES SOD","0","0","H","45",
"4","040101","040101","3","0","0","100","0",,"ESCISION DE NEUROMA ACUSTICO  VIA SUBOCCIPITAL","0","0","H","45",
"5","040102","040102","3","0","0","100","0",,"ESCISION DE NEUROMA ACUSTICO  VIA RETROSIGMOIDEA","0","0","H","45",
"6","040103","040103","3","0","0","100","0",,"ESCISION DE NEUROMA ACUSTICO  VIA TRANSLABERINTICA","0","0","H","45",
"7","040104","040104","3","0","0","100","0",,"ESCISION DE NEUROMA ACUSTICO  VIA TRANSOTICA","0","0","H","45",
"8","040200","040200","3","0","0","100","0",,"SECCION DE NERVIO TRIGEMINO SOD","0","0","H","45",
"9","042101","042101","3","0","0","100","0",,"RIZOTOMIA DE NERVIO TRIGEMINAL  POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"10","042102","042102","3","0","0","100","0",,"RIZOTOMIA DE NERVIO XI  POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"11","052101","052101","3","0","0","100","0",,"GANGLIONECTOMIA ESFENOPALATINA","0","0","H","45",
"12","082600","082600","3","0","0","100","0",,"TARSECTOMIA SOD","0","0","H","45",
"13","085100","085100","3","0","0","100","0",,"CANTOTOMIA SOD","0","0","H","45",
"14","085200","085200","3","0","0","100","0",,"CANTORRAFIA SOD","0","0","H","45",
"15","090100","090100","3","0","0","100","0","N","DRENAJE EN GLANDULA LAGRIMAL SOD","42115","0","H","41",
"16","099100","099100","3","0","0","100","0","N","OBLITERACION O CAUTERIZACION DE PUNTO LAGRIMAL SOD","22330","0","H","41",
"17","850100","850100","3","0","0","100","0",,"DRENAJE EN MAMA DE COLECCION POR MASTOTOMIA O MAMOTOMIA SOD","0","0","H","45",
"18","850201","850201","3","0","0","100","0",,"EXTRACCION DE CUERPO EXTRAÐO DE MAMA POR MASTOTOMIA     217","0","0","H","45",
"19","852002","852002","3","0","0","100","0",,"ESCISION SELECTIVA DE CANAL GALACTOFORO","0","0","H","45",
"20","852003","852003","3","0","0","100","0",,"ESCISION EN BLOQUE DE CONDUCTOS GALACTOFOROS","0","0","H","45",
"21","852100","852100","3","0","0","100","0",,"RESECCION LOCAL DE LESION DE MAMA SOD","0","0","H","45",
"22","852401","852401","3","0","0","100","0",,"ESCISION DE PEZON ACCESORIO O SUPERNUMERARIO","0","0","H","45",
"23","852500","852500","3","0","0","100","0",,"ESCISION DE PEZON SOD","0","0","H","45",
