"id","codigo_cum","codigo_atc","codigo_tip","clase_prod","clase_apli","nombre_far","nombre_gen","presentacion","unidad_med","unidad_int","concentrac","via_admini","referencia","reg_invima","valor_cost","valor_coiv","valor_vent","codtip_ser","porce_iva","porce_incr","saldo_actu","idcod_cent","realizar_m","estado_act"
"1",,,"3","3","1","ADAPTIC 7.6 X 7.6 CM","ADAPTIC 7.6 X 7.6 CM",,"UNIDAD",,,,,,"258","258","289","0","0","12","0","0",,"A"
"2","C01CA24","C01CA24","1","1","1","*ADRENALINA AMP","*ADRENALINA AMP","INY","MG",,"1",,,,"0","594","0","0","0","12","0","0",,"A"
"3","R01AA05","R01AA05","1","1","1","AFRIN NASAL O.5 MG GOTAS","AFRIN NASAL O.5 MG GOTAS","GOTAS","MG",,"0.5",,,,"3975","3975","4452","0","0","12","0","0",,"A"
"4",,,"3","3","1","AGUA OXIGENADA","AGUA OXIGENADA",,"UNIDAD",,,,,,"450","450","504","0","0","12","0","0",,
"5",,,"3","3","1","AGUJA HIPODERMICA 18","AGUJA HIPODERMICA 18",,"UNIDAD",,,,,,"80","50","90","0","0","12","84","0",,
"6",,,"3","3","1","AGUJA HIPODERMICA 19","AGUJA HIPODERMICA 19",,"UNIDAD",,,,,,"50","50","56","0","0","12","0","0",,"A"
"7",,,"3","3","1","AGUJA HIPODERMICA 21","AGUJA HIPODERMICA 21",,"UNIDAD",,,,,,"50","50","56","0","0","12","0","0",,"A"
"8",,,"3","3","1","AGUJA HIPODERMICA 23","AGUJA HIPODERMICA 23",,"UNIDAD",,,,,,"50","50","56","0","0","12","0","0",,"A"
"9",,,"3","3","1","AGUJA HIPODERMICA 25","AGUJA HIPODERMICA 25",,"UNIDAD",,,,,,"55","55","62","0","0","12","0","0",,"A"
"10",,,"3","3","1","AGUJA HIPODERMICA 26","AGUJA HIPODERMICA 26",,"UNIDAD",,,,,,"53","53","59","0","0","12","0","0",,"A"
"11",,,"3","3","1","AGUJA CARPULA CORTA","AGUJA CARPULA CORTA",,"UNIDAD",,,,,,"187","187","209","0","0","12","0","0",,"A"
"12",,,"3","3","1","AGUJA CARPULA LARGA","AGUJA CARPULA LARGA",,"UNIDAD",,,,,,"121","121","136","0","0","12","0","0",,"A"
"13",,,"3","3","1","AGUJA RETROBULBAR REF. 1275","AGUJA RETROBULBAR REF. 1275",,"UNIDAD",,,,,,"5550","5550","6216","0","0","12","0","0",,"A"
"14","S01HA04","S01HA04","1","1","1","ALCAINE SOLUCION X 15 ML","ALCAINE SOLUCION X 15 ML",,"MG",,,,,,"11690","11690","13093","0","0","12","0","0",,"A"
"15",,,"2","2","1","ALFENTANYL AMP. X 5CC","ALFENTANYL AMP. X 5CC","INY","MG",,"5",,,,"14147","14147","15845","0","0","12","0","0",,"A"
"16",,,"3","3","1","ALGODON LAMINADO DE 5X5","ALGODON LAMINADO DE 5X5",,"UNIDAD",,,,,,"1300","1300","1456","0","0","12","0","0",,"A"
"17",,,"3","3","1","ALGODON ODONTOLOGICO","ALGODON ODONTOLOGICO",,"UNIDAD",,,,,,"5","5","6","0","0","12","0","0",,"A"
"18","R03DA05","R03DA05","1","1","1","AMINOFILINA AMPOLLA X 100 MG","AMINOFILINA AMPOLLA X 100 MG","TAB","MG",,"100",,,,"130","130","146","0","0","12","0","0",,
